ai,seed,exposure,censored,final
0,1,127.5,1.0,0.0
0,2,127.5,1.0,0.0
0,3,127.5,1.0,0.0
0,4,127.5,1.0,0.0
0,5,127.5,1.0,0.0
0,6,127.5,1.0,0.0
0,7,127.5,1.0,0.0
0,8,127.5,1.0,0.0
0,9,127.5,1.0,0.0
0,10,127.5,1.0,0.0
0,11,127.5,1.0,0.0
0,12,127.5,1.0,0.0
0,13,127.5,1.0,0.0
0,14,127.5,1.0,0.0
0,15,127.5,1.0,0.0
0,16,127.5,1.0,0.0
0,17,127.5,1.0,0.0
0,18,127.5,1.0,0.0
0,19,127.5,1.0,0.0
0,20,127.5,1.0,0.0
1,1,97.75,1.0,0.0
1,2,97.75,1.0,0.0
1,3,97.75,1.0,0.0
1,4,97.75,1.0,0.0
1,5,97.75,1.0,0.0
1,6,97.75,1.0,0.0
1,7,97.75,1.0,0.0
1,8,97.75,1.0,0.0
1,9,97.75,1.0,0.0
1,10,97.75,1.0,0.0
1,11,97.75,1.0,0.0
1,12,97.75,1.0,0.0
1,13,97.75,1.0,0.0
1,14,97.75,1.0,0.0
1,15,97.75,1.0,0.0
1,16,97.75,1.0,0.0
1,17,97.75,1.0,0.0
1,18,97.75,1.0,0.0
1,19,97.75,1.0,0.0
1,20,97.75,1.0,0.0
2,1,17.425,1.0,0.0
2,2,18.7,1.0,0.0
2,3,15.725,1.0,0.0
2,4,15.3,1.0,0.0
2,5,16.575,1.0,0.0
2,6,17.85,1.0,0.0
2,7,16.575,1.0,0.0
2,8,15.725,1.0,0.0
2,9,15.725,1.0,0.0
2,10,19.55,1.0,0.0
2,11,19.125,1.0,0.0
2,12,16.575,1.0,0.0
2,13,14.45,1.0,0.0
2,14,18.275,1.0,0.0
2,15,17.85,1.0,0.0
2,16,19.125,1.0,0.0
2,17,21.25,1.0,0.0
2,18,19.975,1.0,0.0
2,19,19.125,1.0,0.0
2,20,15.3,1.0,0.0
3,1,71.4,1.0,0.0
3,2,71.4,1.0,0.0
3,3,47.6,1.0,0.0
3,4,71.4,1.0,0.0
3,5,47.6,1.0,0.0
3,6,71.4,1.0,0.0
3,7,23.8,1.0,0.0
3,8,71.4,1.0,0.0
3,9,71.4,1.0,0.0
3,10,47.6,1.0,0.0
3,11,71.4,1.0,0.0
3,12,47.6,1.0,0.0
3,13,71.4,1.0,0.0
3,14,47.6,1.0,0.0
3,15,47.6,1.0,0.0
3,16,71.4,1.0,0.0
3,17,71.4,1.0,0.0
3,18,71.4,1.0,0.0
3,19,47.6,1.0,0.0
3,20,71.4,1.0,0.0
