kind,idx,seed,exposure,censored,final
arm,0,1,120.0,1.0,0.0
arm,0,2,120.0,1.0,0.0
arm,0,3,120.0,1.0,0.0
arm,0,4,120.0,1.0,0.0
arm,0,5,120.0,1.0,0.0
arm,0,6,120.0,1.0,0.0
arm,0,7,120.0,1.0,0.0
arm,0,8,120.0,1.0,0.0
arm,0,9,120.0,1.0,0.0
arm,0,10,120.0,1.0,0.0
arm,0,11,120.0,1.0,0.0
arm,0,12,120.0,1.0,0.0
arm,0,13,120.0,1.0,0.0
arm,0,14,120.0,1.0,0.0
arm,0,15,120.0,1.0,0.0
arm,0,16,120.0,1.0,0.0
arm,0,17,120.0,1.0,0.0
arm,0,18,120.0,1.0,0.0
arm,0,19,120.0,1.0,0.0
arm,0,20,120.0,1.0,0.0
arm,1,1,20.4,1.0,0.0
arm,1,2,19.6,1.0,0.0
arm,1,3,15.6,1.0,0.0
arm,1,4,20.4,1.0,0.0
arm,1,5,23.2,1.0,0.06495726495726496
arm,1,6,19.2,1.0,0.0
arm,1,7,22.0,1.0,0.0
arm,1,8,20.8,1.0,0.0
arm,1,9,16.0,1.0,0.0
arm,1,10,23.6,1.0,0.0
arm,1,11,20.0,1.0,0.0
arm,1,12,22.4,1.0,0.0
arm,1,13,16.8,1.0,0.0
arm,1,14,19.2,1.0,0.0
arm,1,15,22.4,1.0,0.0
arm,1,16,22.0,1.0,0.0
arm,1,17,19.6,1.0,0.0
arm,1,18,22.0,1.0,0.0
arm,1,19,22.0,1.0,0.0
arm,1,20,21.6,1.0,0.0
arm,2,1,67.2,1.0,0.0
arm,2,2,44.8,1.0,0.0
arm,2,3,67.2,1.0,0.0
arm,2,4,67.2,1.0,0.0
arm,2,5,67.2,1.0,0.0
arm,2,6,67.2,1.0,0.0
arm,2,7,67.2,1.0,0.0
arm,2,8,67.2,1.0,0.0
arm,2,9,67.2,1.0,0.0
arm,2,10,67.2,1.0,0.0
arm,2,11,67.2,1.0,0.0
arm,2,12,67.2,1.0,0.0
arm,2,13,67.2,1.0,0.0
arm,2,14,67.2,1.0,0.0
arm,2,15,67.2,1.0,0.0
arm,2,16,67.2,1.0,0.0
arm,2,17,67.2,1.0,0.0
arm,2,18,67.2,1.0,0.0
arm,2,19,67.2,1.0,0.0
arm,2,20,67.2,1.0,0.0
arm,3,1,120.0,1.0,0.0
arm,3,2,120.0,1.0,0.0
arm,3,3,120.0,1.0,0.0
arm,3,4,120.0,1.0,0.0
arm,3,5,120.0,1.0,0.0
arm,3,6,120.0,1.0,0.0
arm,3,7,120.0,1.0,0.0
arm,3,8,120.0,1.0,0.0
arm,3,9,120.0,1.0,0.0
arm,3,10,120.0,1.0,0.0
arm,3,11,120.0,1.0,0.0
arm,3,12,120.0,1.0,0.0
arm,3,13,120.0,1.0,0.0
arm,3,14,120.0,1.0,0.0
arm,3,15,120.0,1.0,0.0
arm,3,16,120.0,1.0,0.0
arm,3,17,120.0,1.0,0.0
arm,3,18,120.0,1.0,0.0
arm,3,19,120.0,1.0,0.0
arm,3,20,120.0,1.0,0.0
iv,0,1,44.8,1.0,0.0
iv,0,2,44.8,1.0,0.0
iv,0,3,33.6,1.0,0.0
iv,0,4,56.0,1.0,0.0
iv,0,5,56.0,1.0,0.0
iv,0,6,44.8,1.0,0.0
iv,0,7,44.8,1.0,0.0
iv,0,8,44.8,1.0,0.0
iv,0,9,44.8,1.0,0.0
iv,0,10,56.0,1.0,0.0
iv,0,11,44.8,1.0,0.0
iv,0,12,56.0,1.0,0.0
iv,0,13,22.4,1.0,0.0
iv,0,14,44.8,1.0,0.0
iv,0,15,56.0,1.0,0.0
iv,0,16,44.8,1.0,0.0
iv,0,17,44.8,1.0,0.0
iv,0,18,56.0,1.0,0.0
iv,0,19,56.0,1.0,0.0
iv,0,20,44.8,1.0,0.0
iv,2,1,89.6,1.0,0.0
iv,2,2,89.6,1.0,0.0
iv,2,3,89.6,1.0,0.0
iv,2,4,89.6,1.0,0.0
iv,2,5,89.6,1.0,0.0
iv,2,6,89.6,1.0,0.0
iv,2,7,44.8,1.0,0.0
iv,2,8,89.6,1.0,0.0
iv,2,9,89.6,1.0,0.0
iv,2,10,89.6,1.0,0.0
iv,2,11,89.6,1.0,0.0
iv,2,12,89.6,1.0,0.0
iv,2,13,89.6,1.0,0.0
iv,2,14,89.6,1.0,0.0
iv,2,15,89.6,1.0,0.0
iv,2,16,89.6,1.0,0.0
iv,2,17,89.6,1.0,0.0
iv,2,18,89.6,1.0,0.0
iv,2,19,89.6,1.0,0.0
iv,2,20,89.6,1.0,0.0
