sample,treat,ok,mycaf_um,icaf_um,diff_um,p
U4-b,Untreated,True,17.321364054427043,22.484640172526667,-5.163276118099624,0.004975124378109453
T6-b,CRTL,True,74.39422527155719,80.13162468270158,-5.737399411144395,0.024875621890547265
T1-b,CRT,True,39.5627043049319,106.869439947315,-67.3067356423831,0.004975124378109453
T2-b,CRT,True,38.324046865725386,43.81503380796368,-5.490986942238294,0.004975124378109453
T4-b,CRT,True,36.84653680021502,43.285428160377485,-6.438891360162465,0.004975124378109453
T3-b,CRT,True,38.624865217181565,54.631289842060276,-16.00642462487871,0.004975124378109453
U3-b,Untreated,True,35.08567221896391,35.14893606137176,-0.06326384240784932,0.9900497512437811
U1-b,Untreated,True,35.775769073069554,38.94695374073819,-3.1711846676686335,0.004975124378109453
U2-b,Untreated,False,11.844984842674979,11.636740343584194,0.20824449909078524,0.27860696517412936
U5-a,Untreated,True,11.905289853035917,15.216013943403256,-3.310724090367339,0.004975124378109453
U4-a,Untreated,True,19.310091362543677,22.20004642689759,-2.889955064353913,0.004975124378109453
U6-a_1,Untreated,True,18.81488334190781,19.17362729180795,-0.35874394990014125,0.36318407960199006
U6-a_2,Untreated,True,17.271596526497852,18.775431888888665,-1.503835362390813,0.004975124378109453
T5-a,CRT,True,20.174079308578126,24.544488991510907,-4.370409682932781,0.004975124378109453
T4-a,CRT,True,79.20097792997255,92.56399777673218,-13.363019846759627,0.004975124378109453
U7-a,Untreated,True,17.68770463909888,24.4269053981758,-6.7392007590769225,0.004975124378109453
