cell_type,untr_mean,crt_mean,delta,p,n_untr,n_crt,p_bh,untr_lo,untr_hi,crt_lo,crt_hi
myCAF,9.067639451204728,15.67533159315479,0.2222222222222222,0.5286713286713286,9,6,0.5947552447552447,-0.12895773640328273,18.860135360057104,8.568676979339566,24.330606898835175
iCAF,-3.4936019946561583,-9.200084065164708,-0.6296296296296297,0.04955044955044956,9,6,0.19900099900099902,-7.569106999598781,0.034905997650047385,-12.260460077376754,-6.935856606797394
CD8+ T,-5.5571861809533525,-3.9844004402830144,0.25925925925925924,0.45594405594405585,9,6,0.5947552447552447,-7.810736500950466,-3.3249555930943715,-6.387604865801559,-1.8124918755898083
CD4+ T,-2.6073800090171186,-1.29456547624921,0.2962962962962963,0.38841158841158835,9,6,0.5947552447552447,-3.9333943257539747,-1.3776037554919076,-1.7337013483417707,-0.6315223652177445
Treg,-3.627668872984667,-1.6465746099046665,0.5925925925925926,0.06633366633366634,9,6,0.19900099900099902,-4.831859135199496,-2.4623542842996846,-2.672509356391036,-0.7071237586163418
Macrophage,6.771387498997392,2.3551276117575366,-0.37037037037037035,0.2721278721278721,9,6,0.5947552447552447,3.5121007189662574,10.495899178493408,-1.735289495555244,6.338831682768394
Plasma,-11.344494737975529,-4.102966178636003,0.2222222222222222,0.5286713286713286,9,6,0.5947552447552447,-20.46873557116818,-3.539118208889627,-10.350184479477088,2.769174012293497
Endothelial,-1.7023070981995398,-1.5795003375612444,0.1111111111111111,0.7756243756243756,9,6,0.7756243756243756,-5.163524508528449,1.8088626913520451,-4.954846287124966,1.2893779384260715
Pericyte,-1.5827361300702916,3.2531077204984107,0.6296296296296297,0.04955044955044956,9,6,0.19900099900099902,-3.282322650111638,0.15374786060726695,-1.2214519396698844,6.975956775255404
